國語,客語,音標,造句,備註
睡時警覺性高,醒睡,tshiang31 shoi53,,
作夢,發夢,put2 mung53,,
性交,屌,tiau31,,
燒熱水,暖水,non24 shui31,,
修改鞋子,整鞋,chiang31 he11,,
修房子,整屋,chiang31 vuk2,,
去除身上的污垢,lu滿,lu24 man31,,滿字借字音
面熟,熟面,shuk5 mien53,,
閒聊、串門子,坐燎,tsho33 liau53,,
商量,商量，參詳,shiong24 liong11, tsham24 shiong11,,
客人,人客,ngin11 khak2,,
做客,做人客,tso53 ngin11 khak2,,
謝謝,勞瀝,lo11 lat5,,勞你披心瀝血之義
慢走，送客時的客氣話,慢行,man53 hang11,,
走訪親友時贈送的禮物,等路,ten31 lu53,,
不好意思,歹勢，失禮,phai33 shie53, shit2 li33,,
不用客氣,毋使細膩,m11 sii31 se55 ngi53,,
丟臉、失禮,見笑,kien55 siau53,,
不要緊、沒關係,冇要緊,mo11 jieu55 kin31,,
倒茶,渟茶,tin44 tsha11,,
發帖子,送帖,sung55 thiap2,,
整治酒席,辦桌,phan55 tsok2,,
赴宴、喝酒,食酒,shit5 tsiu31,,
上菜,出菜,chhut2 tshoi53,,
划拳,唱拳,hot2 khien11,,
看不慣,看毋慣，看冇順眼,khon53 m11 kuan53, khon55 mo11 shiun55 ngien31,,
惹事,惹事,ngia33 sii53,,
喜歡爭辯,好拗,hau55 au53,,
頂嘴,應喙,en55 choi53,,
翻臉,變面,pien55 mien53,,
得罪人,跌失人，跌罪人,tiet2 shit2 ngin11, tiet2 tshui53 ngin11,,
吵架,冤家,jien33 ka33,,
打架,相打,siong24 ta31,,
吝嗇,囓掣,ngat2 tshat2,,
肯不肯,肯毋肯,hen31 m11 hen31,,
一樣,共樣，共款,khiung55 jiong53, khiung55 khuan31,,
一起,共下,khiun55 ha53,,
態度、模樣,樣相,jiong55 siong53,,
看不起,看毋起,khon55 m11 khi31,,
快樂,歡喜,fan24 hi31,,
喜歡、中意,kak意，中意,kak2 ji53, chiung55 ji53,,
擠眉弄眼、頻傳秋波,打眼kuai，打眼箭,ta31 ngien31 kuai31, ta31 ngien31 tsien53,,
開玩笑,講笑,kong31 siau53,,
不相配,冇相對，冇登對,mo11 siong33 tui53, mo11 ten33 tui53,,
答話、回話,應話,en55 fa53,,
對不起,對毋起,tui53 m11 khi31,,
壓歲錢,磧年錢,tsak2 ngien11 chhien11,,
娶老婆,討輔娘,tho31 pu24 ngiong11,,
媒人,媒人婆,moi44 ngin44 pho11,,
洞房,新娘間,sin24 ngiong11 kien33,,
懷孕,大肚笥，有身,thai55 tu31 shi31, jiu33 shin33,,
害喜,病子,phiang55 tsii31,,
流產,落胎，損身,lau53 thoi33, sun31 shin33,,
取名,安名,on24 miang11,,
做月子,做月,tso55 ngiet5,,
坐月子的婦人,月婆,ngiet5 pho11,,
小孩周歲,對歲,tui55 se53,,
慶生,做生日,tso53 sang24 ngit2,,
遷新居,搬新屋,pan33 sin24 vuk2,,
放鞭炮,打紙炮,ta31 chi31 phau53,,
去世,過身，死碧,ki53 shin33, si31 phet2,,碧字借字音
夭折,夭壽,jieu33 shiu53,,亦為罵人話
棺材,棺樵,kuan24 tshiau11,,
出殯,出山,chhut2 san33,,
專看風水的人,地理仙,thi53 li33 sien24,,
掃墓,掛紙,kua55 chi31,,
刎頸,割頦,kot2 koi24,,
放學回家,放轉,piong44 chion31,,
本子,簿,phu24,,
橡皮擦,拭布,tshut5 pu53,,
硯臺,墨盤,met5 phan11,,
最後一名,盡pi名，尾名,chhin53 pi24 miang11, mui24 miang11,,
演戲,做戲,tso55 hi53,,
舞臺,舞臺，戲臺,vu31 thoi11, hi53 thoi11,,
散場,煞場,sot5 chiong11,,
說故事,講古,kong31 ku31,,
下棋,行棋,hang44 khi11,,
捉迷藏,囥人尋,khon53 ngin44 chhim11,,
打桌球,打乒乓,ta31 phin24 phong53,,
舞獅,打弄獅,ta31 nong53 sii24,,
風箏,紙鷂,chi31 jiau53,,
跳繩,跳索,thiau11 sok2,,
翻跟斗,種跟斗,chiung55 khin44 teu31,,
律師,律師,lit5 si33,,
坐牢,坐lut櫥,tsho44 lut5 chhu11,,櫥字借字音
老天爺,天公（伯）,thien33 kung33 pak2,,
灶王爺,灶空爺,tso53 khung24 jia11,,
香案,神桌,shin11 tsok2,,
燒香,燒香,shieu33 hiong33,,
祭祀,敬神，敬拜,king53 shin11, king55 pai53,,
紙錢,金紙,kim24 chi31,,
擇良辰,看日,khon55 ngit2,,
占卜,跌聖珓,tiet2 shing55 kau53,,
杯珓一陰一陽,聖珓,shing55 kau53,,珓玄寫作「筶」
杯珓兩片皆俯,陰珓,jim33 kau53,,
杯珓兩片皆仰,笑珓,siau55 kau53,,
符,符,phu11,,
沖撞了鬼神,沖到,chhung24 to31,,
尼姑,尼姑,ni11 ku33,,
祈福,求福,khiu11 fuk2,,
站立,企,khi33,,亦寫「足企」
抬腳站,蹬,ten11,蹬腳尾,
動物的飛奔,飆,piau33,,亦寫作驫
避讓,閃,shiam31,閃開,
藏,囥,khong53,,
偷瞄,睞,lai31,,
告訴,學,hok5,佢學分我聽,
叫,喊,hem33,,
應聲,應,en53,,
生氣,譴,khien31,,
討厭,惱,nau33,惱佢（討厭佢）、得人惱,
疼愛,惜,siak2,得人惜（很可愛）,
用手取物，拾物,拈,ngiam33,,
手提,擐，拿,khuan53, na33,,
按,壓,et2,,
抓到後用手按住,撳,khim53,,
隱瞞實情,掩,em33,,
用手指擠壓物體,ngien,ngien31,,
抓物,khak,khak5,,
捉,捉,tsok2,,
捏,捏,net2,捏人，捏花,
兩手相磨,捼,no33,,
拔,pang,pang33,,
搭著、扶著,man，扶，扳,man33, fu11, pan33,,
推,sung,sung31,,
搗亂,摝，tsha siau,luk2, tsha53 siau11,摝人,
抱,抩,nam31,抩細人,
丟棄,tep,tep5,,
兩人合抬,扛,kong33,,
抖動粉屑洒物,sam,sam53,,
撒,敥,jie53,,
洒,fu,fu53,洒水,
澆,淋,lim11,淋花,
鋤土,掘泥,kut5 ne11,,
吹氣,噴,phun11,,
嚼,tshiau,tshiau53,,寫作「口焦」
吸吮,su,su53,,
給,分,pun24,,
燙,熝,luk5,,
裝病,假病,ka31 phiang53,,
蹲,跍,ku33,,
這樣（東西）,這樣,lia31 jiong53,,
那樣（東西）,該樣,kai53 jiong53,,
毋子倆,兩子哀,liong31 tsii31 oi33,,
叔侄倆,倆子叔,liong31 tsi31 shiuk2,,
舅甥倆,倆子舅,liong31 tsi31 khiu24,,
稀（粥類等）,鮮,sien33,,
稠（粥類等）,結,khiet5,,
頑皮,牛,ngiu11,,
能幹,會,voi53,,
有趣的,生趣，心色,sen33 chhi53, sim33 set2,,
累,khioi,khioi31,,
只、光,kan na,kan55 na53,佢kan na食飯,
有點,小可，略略,siau31 kho31, liok2 liok2 (liok5 liok5),,
馬上，立該,隨時，騰等，鐮時,sui55 shi11, then11 ten31, liam55 shi11,,
剛才,頭下，頭先,theu11 ha53, theu11 sen24,,
趕快,剎兜,sat2 teu24,,
幸虧,好在，好得，該在,ho31 tsai53, ho31 tet2, koi33 tsai53,,
故意,挑知,thiau33 ti33,,
再一下子,加一下添,ka24 jit2 ha53 thiam33,,
多坐一會,坐加下添，坐加下,tsho33 ka24 ha53 thiam33, tsho33 ka24 ha53,,
每次,逐擺,tak2 pai53,,
何時,那時,ne53 shi11,,
偶而,幾擺,ki31 pai31,,
常常,常在，捷捷，常下,chhiong11 tshai53, tsiap5 tsiap5, chhiong11 ha53,,
多久,幾久,kit2 kiu31,,
隨便,清采，濫滲,chhin31 tshai31, lam31 sam31,,
個(人的單位),個,kai53,一個人,
匹(單位),隻,chiak2,一隻馬,
封(信的單位),張,chiong33,一張信,
服（藥的單位）,帖,thiap2,一帖藥,
道（菜的單位）,路,lu55,一路菜,
條（魚的單位）,尾,mui24,一尾魚,
條（牛的單位）,隻（牛的單位）,chiak2,一隻牛,
盞（燈的單位）,蕊，葩,lui24, pha24,一蕊火，一葩火,
塊（磚的單位）,teu,teu33,一teu33磚,
塊（石頭的單位）,粒（石頭的單位）,liap5,一粒石頭,
塊（錢的單位）,個，箍,kai33, khieu24,一個銀，一khieu,錢是圓形的故稱箍
塊（瓦的單位）,te,te53,一te瓦,
塊（田的單位）,坵,khiu24,一坵田,
彗星,掃把星,so53 pa31 sen33,,
旋風,扭酒風,ngiu31 tsiu31 fung33,,
毒死,透死,theu53 si31,,
池塘,魚塘,ng33 thong11,,
山洞,山窿,san24 lung11,,
打水,打水,ta31 shui31,,
引水,透水,theu55 shui31,,
鹿轤,天車,thien33 chhia33,,
石頭,石頭,shiak5 theu11,,
旋渦,扭酒窟,ngiu31 tsiu31 khut2,,
瀑布,水寨,shiu31 tsai53,,
七夕,七月七,chhit2 ngiet5 chhit2,,
牛籠嘴,牛嘴籃,ngiu11 chioi53 lam24,,
牛鼻上環,牛鼻牽,ngiu11 phi53 khien53,,
竹掃把,怯把,khia55 pa31,,
圓鍬,沙撩,sa33 liau33,,
垃圾,地圾，齷齪,thi53 siep2, o33 tso33,,
高梁,高梁，粟,ko24 liong11, siuk2,,
馬鈴薯,馬鈴薯，油薯,ma24 lin31 shu11, jiu11 shu11,,
香菜,元荽，元旺,jien11 sui24, jien11 vong53,,
皎白筍,皎白筍，水筍,kha33 pe55 sun53, shui31 sun31,,
芥菜,大菜，長年菜,thai55 tshoi53, chhiong55 ngien11 tshoi53,,
牽牛花,碗公花，打爛碗花,van31 kung33 fa33, ta31 lan53 van31 fa33,,
芒草,菅草，菅荀，娘花,kon24 tsho31, kon24 sun31, ngiong11 fa33,,
芒果,檨,son24,,
百合花,力鑼鈴,lit5 lo11 liang33,,
草莓,tsi菠,tsi53 pho33,,
天牛,山牛精,san24 ngiu11 tsin33,,
雞（半大不小的）,雞tho,kie24 tho11,,
蛞蝓,蛞蜞嬤,jie55 khi33ma11,,
蜥蜴,山狗大,san24 kieu31 thai53,,亦寫作「山狗太」
螳螂,草馬,tsho31 ma33,,
蟑螂,黃蜤,vong11 tshat5,,
蚌,螺pe，khong khau,lo11 pe24, khong11 khau53,,
螽斯,禾蜢,vo11 mak2,,
毛毛蟲,nat毛蟲,nat2 mo24 chhiung11,,
家鼠,錢鼠，唧哩鼠,tshien11 chhiu31, tsit5 lit5 shhiu31,,
吳郭魚,吳郭魚,ng11 kok2 ng11,,
家裡,屋下,vuk2 ha33,,
走廊,簷唇下,jiam55 shiun11 ha33,,
地板,地泥下,thi53 ne11 ha33,,
地上,地泥頂,thi53 ne31 ten31,,
房間,間方，間房,kien33 hong33, kien24 fong11,,
牛舍,牛欄,ngiu55 lan11,,
門檻,扶檻,fu11 khiam33,,
煙囪,煙窗涵，煙窗笐,jien33 tshung24 ham11, jien33 tshung24 kong11,,
熱水瓶,燒壺，燒罐,shieu24 fu11, shieu33 kuan53,,
水壺（裝開水或煮開水的）,水炙,shui31 chiak2,,
打火機,lai ta,lai55 ta31,,由日文來
鍋鏟,鍋撩,vok5 liau33,,
湯匙,湯匙,thong24 shi11,,
筷子,筷,khuai53,,
扇子,扇,shien53,,
小老婆,細姨，細妾,se53 ji11, se55 tsia31,,
外省人,阿山，長山,a33 san24, chhiong11 san24,,
中風,piak腦筋,piak5 no31 kin33,,
駝背,瘟跍,un33 ku33,,
瞎眼,青盲,tshiang33 miang33,,
癢,癢,jiong33,,
背心,夾,kap2,,
圍兜兜,瀾a,lan33 a33,,
尿布,尿帖,ngiau53 thiap2,,
餡,a,a33,,
麵筋,麵蔗,mien55 chia53,,
蛋白,卵白,lon31 phak5,,
味精,雞丹,kie33 tan33,,
酒糟,酒釀,tsiu31 ngiong11,,
把東西磨成粉,碾粉,ngien24 fun31,,
花生粉,地豆fu,thi55 theu55 fu31,,fu寫作「米夫」
豆豉,陰豉,jim55 shi53,,
啤酒,麥酒,mak5 tsiu31,,
訂婚,過訂,ko55 thin53,,
雙胞胎,雙胞卵，雙胞,sung33 pa24 lon31, sung33 pa24,,
靈牌,家神牌,ka24 shin33 phai11,,
肚子餓,肚笥飫,tu31 shi31 iau33,,
欠帳,賒數,chhia33 sii53,,
打彈珠,搞tha ma,kau31 tha55 ma31,,tha ma為日文
跳房子,報ong垤,po11 ong24 te53,,
陀螺,極樂,khit5 lok5,,
骰子,heu tsii,htu11 tsii31,,
低頭,頭那黎黎,theu55 na55 le55 le11,,
厥嘴,嘴嘟嘟,chioi55 to55 to53,,
拍手,拍手,phok2 shu31,,
遇到,堵著,tu11 to31,,
巴結,浮大hak卵,pho11 thai55 hak5 lon31,,
看得起,看人有,khon53 ngin11 jiu33,,
找到,尋著,chhim11 to31,,
取暖,焙燒,phoi53 shieu33,,
用水煮熟,煠,sap5,,
煮茶,烳茶,phu55 tsha11,,
煮飯,炊飯,chhoi33 phon53,,
養家畜,畜頭生,hiuk2 theu11 sang24,,
餵家畜,餵頭生,vui53 theu11 sang24,,
烤,焙，烘,phoi53, hang55,,
紮草目枝當燃料,縈草結,jiang24 tsho31 kiet2,,
丟掉,摒碧,piang24 phet2,,
潛水,沒嘰.覓,mut5 tsi55 mi53,,
右邊,正手邊,chin55 shu31 phien31,,
外面,外背,ngo55 poi53,,
前面,頭前,theu55 chhien11,,
後面,後背,heu55 poi53,,
附近,就近,tsiu53 khiun33,,
有錢,好額,ho31 ngiak2,,
吹嗩吶,歕嘀ta,phun11 ti24 ta11,,
捨不得,毋盼得,m11 phan55 tet2,,
旁邊,唇口,shiun11 heu31,,
用腳跨過,khiam,khiam53,,
勾碰到,徑著,kang31 to31,,
血統,種草,chiung31 tsho31,,
變種,走種,tseu31 chiung31,,
節儉,省儉,sang31 khiang53,,
差勁的,壞陋,fai55 lo53,,
切割,剖,phe24,,
豬肉舖,豬砧,chiu33 tiam33,,
歡喜,暢,thiong53,,
一定,一定，定著,jit2 thin53, thin55 chiok5(chhin53 chiok5),,
夠,罅,la53,,
忍不住,擋毋鳥,tong53 m11 tiau24,,
綁、繫,綯,tho11,,
一下子,一下那,jit2 ha53 na53,,
中用,當樑,tong53 liong11,,
傻，笨,憨痴,ham33 chhie24,,
窮,嘳,khuai11,,
破破爛爛,爛爛擐擐,lan55 lan55 khuan55 khuan53,,
瘦巴巴,瘦夾夾,tsheu53 kiap5 kiap5,,
堅固,主固,chiu31 ku53,,
高雅精緻,素尸,su53 si33,,亦寫「素絲」
耕山（種水果，造林等）,打林,ta31 na11,,
努力,煞猛,sat2 mang33,,
張羅,擐,khuan53,,
口渴,嘴燥,chioi53 tsau33,,
一點點,一屑屑,jit2 sut5 sut5,,
不單單,毋單淨,m11 tan31 tshiang53,,
工作、事情,shie,shie53,,寫作「貝世」
美,靚,tsiang33,,
寬,闊,khuat2,,
幫忙,then手,then55 shiu31,,then寫作「手帣」
放牛,掌牛,chiong31 ngiu11,,
長期的工人,長年,chhiong55 ngien11,,
賣穀,糶穀,thiau53 kuk2,,
細小、碎碎,幼幼,jiu55 jiu53,,
每個人,逐儕,tak2 sa53,,
引誘，叫,leu53,leu53,,
笨,戇,ngong53,,
自己,自家,chhi33 ka33,,
如何是好,樣葛煞,ngiong55 kat2 sat2,,
想來想去,愐上愐下,men31 shiong24 men31 ha33,,
知道了,曉得,hiau31 tet2,,
竹編盛裝東西的籮,茶籮,tsha11 lo11,,
食物豐盛,澎湃,phon33 phai53,,
那時候,該滿,kai53 man24,,
不然,冇就,mo11 tsii33,,
頭暈,頭那慇,theu11 na11 hin11,,
苦苓樹,苦練樹,shu31 lien53 shiu53,,
低聲下氣,軟聲軟斗,ngion33 shiang33 ngion24 teu31,,
理睬,睬,tshap2,,
甘心,甘願,kam31 ngien53,,
厲害,慶,khiang53,,
不曾,毋識,m11 shit2,,
難侍候,翹曲,khiau33 khi33,,
壞看,歪看,vai33 khon53,,
長大,大漢,thai55 hon53,,
手足無措,毋得葛煞,m11 tet2 kat2 sat,,葛煞原指荊蔓藤。原指解不開荊蔓藤
精液,漦,siau11,,
夥房屋的左右廂房,橫屋,vang11 vuk2,,
春耕前引水入田，將泥土打散的農具,碌碡,luk5 chhiuk5,,
可憐,災過,tshoi33 ko53,,亦寫作「才過」
老人家,老貨,lo31 fo53,,俚俗的用法
壞,歪,vai33,,
固執,執性,chip2 sin53,,
蠻橫,橫擎擎,vang33 khia33 khia11,,
懶惰,懶尸,nan33 shi33,,
好端端,好恬恬,ho31 tiam33 tiam33,,
可惜,冇采,mo11 tshai31,,
敲打,mak,mak5,,
引燃、擴大,遰,chhie53,火緊遰緊大,
自來水,水導水,shui31 tho55 shui31,,
乾淨,淨浰,tshiang55 li53,,
趴下,伏落,phuk2 lok5,,伏亦寫作覆
無足動物的爬行,逡,so11,,
冬至,冬節,tung24 chiet2,,
貪吃,豺,sai11,,
爬、攀,跋,pak2,,
敲、搥,抨,phong33,,
謎語,鈴,liang53,,
猜，揣摩,摶,thon11,,亦寫作揣
用圈套來套,罶,liu53,,
壓,磧,tsak2,,
可惜，浪費,打爽,ta31 song31,,
提,捙,chhia24,捙水,
懸崖,崩崗崁,pen33 kong33 kham53,,
該死的（罵人話）,痼mo,ko33 mo24,,
整、搞,搣,met2,,
專門收容無主孤魂的祠,百姓公,pak2 siang53 kung33,,
遷去,徙去,sai31 hi53,,
賭博,賭繳,tu31 kiau31,,
老舊不堪,犖犖确确,lok5 lok5 khok5 khok5,,
雙手捧,勒,let5,,
以為,恅著,lau31 to31,,
卻，結果,煞,sa53,,
鳳凰木,蕃婆樹,fan24 pho11 shiu53,,
鳳凰木的果實,關刀豆,kuan33 to33 theu53,,
砍,剁,tok5,剁樹,
綽號,偏名,phian24 miang11,,
引誘,邪,sia11,邪人,
孝順,有孝,jiu33 hau53,,
滿,淰,nem33,,
女僕人,使婢,sii31 pi24,,
邀請,招,chieu33,,
推下,sung落,sung31 lok5,,
三合院或四合院的房子,夥房屋,fo31 fong11 vuk2,,
大陸,常山,chhiong11 san33,常山人，常山話,亦寫作「長山」。大陸來的東西都冠上常山。
身體強健,紮健,tsap2 tsen31,,
搬運木材用的人力器具,木馬,muk2 ma24,,
客家人奉祀的巾山、明山、獨山三位山神,三山國王,sam33 san24 kuat2 vong11,,
桌子的橫木,梗,kuang33,,
沒法子,冇法度,mo11 fat2 thu53,,
折,拗,au31,,
假裝,詐意,tsa53 ji53,,
抓,扡,jia31,,
窄,狹,hap2,,
溼透、渡過,蔭,jim33,,
在,tho, tsho,tho33,tsho33,佢tho臺北（他在臺北）,東勢特殊用法
出草,出番,chhut2 fan24,,
乩童,童乩,thung11 ki33,,
瘋瘋顛顛,顛顛痴痴,tien33 tien33 chhi33 chhi33,,
胡言亂語,搣漦搣濞,met2 shiau11 met2 phi53,,
王爺的神轎,輦轎,lien53 khiau53,,
守隘口的壯丁,隘勇,ai55 jiung31,,
向深處挖掘,摟,leu31,,
癡呆,戇神,ngong53 shin11,,
一些,一兜,jit2 teu24,,
熬,熅,vun11,,
細小的剌,竻,net2,,
雜貨,雜細,tshap5 tshe53,,從前人挑著擔子叫賣的貨郎
活到,食到,shit5 to31,食到八十外歲,
而已,～寧,nen24,三個寧（三個而已）,寧字借字音
不要,moi,moi24,,「冇愛」的合音連讀
吵架吵的家中不得安寧,冤家勞債,jien33 ka24 lo33 tsai53,,
長輩,世大人,shi53 thai53 ngin11,,
下次,下次擺,ha55 chhit5 pai53,,
一種米做的小點心,米篩目,mi31 tshi24 muk2,,
靠過來，聚在一起,偎來,va31 loi11,,
打，交配,拂,fut5,,本義為打，有時做交配的意思
莫,莫,mok5,,常用來做「不要」的意思用
骯髒,垃圾,la31 sap2,,
用邪術或符咒害人,放人,piong53 ngin11,,
符咒,符筶,phu11 kau53,,
東繞西繞,迴,fui33,,
跌倒（較嚴重的）,橫到,vang53 to31,,
配,傍,pong31,傍茶食,指配合什麼東西一起吃
摟抱,揇,nam31,,
爛掉,綿碧,mien11 phet2,,碧字借字音
安靜的,恬恬,tiam33 tiam33,,
進去,入去,ngip5 hi33,,
來去,li,li33, li24,我出li咧,為「來去」的合音連讀
晚（時間上的早晚）,暗，晝,am53, chiu53,恁暗咧，恁晝咧,早上的太晚用「晝」，晚上用「暗」
也,也，乜,jia31, me33 (ma33),,
糯米做的食品，沾糖粉及花生粉吃,齊粑,chhi11 pa24,,齊亦寫作「米齊」
拜拜用的貢品,犧儀,sen24 ngin11,,
差不多,差毋多,tsh24 m11 to33,,
菖蒲,蒲蘇,phu11 su33,,
曾經,識,shit2,我識食過這,
好像是,當像係,tung33 tshiong55 he53,,
受傷,著傷,chhiok5 shiong33,,
帶小孩,度細人,thu53 se53 ngin11,,
翻面,揙面,pien31 mien53,,
連續不斷貌,袞,kun31,啾啾袞,
聰明靈巧,巧,khiau31,,
吃,食，咈,shit5, fut4,,咈為俚俗說法
喝,飲,lim33,,
趾高氣揚，不可一世,風神喋喋,fung33 shin11 te33 te24,,
去你媽的，幹你娘,厥姆分崖刻,kia33 me33 pun24 ngai11 khat2,,崖字借字音
積存，積蓄,藏,tiong11,,
仍然是,本本,pun31 pun31,又本本供到孻,
未成年男性生殖器,朘,tsoi33,,
猛力的衝撞,闖,tsong11,,
撞到，頂到,頓,tun53,,
臉色發黃、發青,面霜霜,mien53 song33 song33,,
臉色臘黃樣,黃霜打脈,vong11 sang24 ta31 mak2,,
大水缸，用來醃菜的,醃缸,am33 kong24,,
周圍,框,khiong33,,
農曆九月東北季風初起時吹起的風。,九降風,kiu31 kong53 fung33,,
他們,厥等，kien,kia33 nen35，kien24,,
我的,吾,nga11,,
