國語,客語,音標,造句,備註
湯圓,惜圓,siak2 jien11,,惜為動詞
端午節,五月節,ng31 ngiet5 chiet2,,
包粽子,thak 粽,包粽,thak2 tsung53, pau33 tsung53,,thak寫為糸部加塌的右半部
曆書,通書,thung33 shu33,,
時候,時節,shi11 chiet2,,
今天,今晡（日）,kin33 pi24 (ngit2),,
後天,後日,heu24 ngit2,,
昨天,昨晡,tsha11 pi24,,
前天,前日,chhien11 ngit2,,
上午,朝唇,chieu24 shiun11,,
下午,下晝,ha11 chiu53,,
中午,當晝,tong33 chiu53,,
清晨,打早,ta31 tso31,,
接近中午的時刻,臨晝,lin11 chiu53,,
白天,日時頭,ngit2 shi55 theu11,,
傍晚,臨暗（邊）,lin11 am53 pian24,,
全部～，整～,歸～,kui33,歸暗晡，歸學校,
～多,～外,nguai53,十外歲（十多歲）,
多少,幾多,kit2 to24,,
做事,做shie,tso53 shie53,,
廁所,糞坑、屎坑、便所,pun53 kong24, shi31 kong24, phien55 so31,,
自行車,鐵馬,thiet2 ma24,,
插秧,蒔田,shi53 jiong24,,
稻草,禾桿,vo11 kon31,,
鋤頭,钁頭,kiok2 theu11,,
鋤草,鏟草,tshan31 tsho31,,
製成精米的一個過程,踏米,thap5 mi31,,
碾米,絞米,kau31 mi31,,
篩子,簁,chhi33,,
扁擔,擔竿,tam53 kon33,,
挑,khai,khai33,khai擔竿,寫作手部加上亥字旁
大掃把，細竹製成,khia把,khia33 pa31,,
雞毛撢子,雞毛掃,ke33 mo33 so53,,
打呼,炊包,chhioi11 pau24,,取炊包子時的聲音
柱子,柱tun,chhiu24 tun31,,
繩子,索,sok2,,
麥穗,麥串,mak5 chhien53,,
稻穗,禾串,vo11 chhien53,,
稻子,禾,vo11,,
玉米,包粟,pau24 siok2,,
菜豆,長（莢）豆,chhiong11 kiap2 theu53,,
芋頭的葉子,芋荷,vu33 ho11,,
芋頭,芋卵,vu33 lon31,,
蓮藕,蓮莖,lien11 king33,,
茄子,吊菜,tiau55 tshoi53,,
南瓜,金瓜,kim33 kua33,,
洋蔥,大蔥頭,thai53 tshung24 theu11,,
薑,薑嬤,kiong24 ma11,,
菠菜,角菜,kok2 tshoi53,,
大白菜,包心白,pau33 sim33 phak5,,
茼蒿,ngie菜,ngie55 tshoi53,,
蘿蔔,菜頭,tshoi53 theu11,,
蘿蔔乾,菜脯,tshoi55 pu31,,
胡蘿蔔,紅菜頭,fung11 tshoi53 theu11,,
向日葵,日頭花,ngi2 theu11 fa33,,
樹苗,樹秧,shu53 jiong24,,
樹枝,樹椏,shu53 va33,,
一株花,一頭花,jit2 theu11 fa33,,
一朵花,一蕊花,jit2 lui33 fa33,,
花苞,花蕾,fa24 lui11,,
桑椹,桑sui,song24 sui11,,
桑樹,桑shui樹,song24 sui11 shu53,,
粗皮的梨,大梨,thai53 li11,,
紅柿,紅柿,fung11 tshii53,,
龍眼,牛眼,ngiu11 ngien31,,
荔枝,荔枝,li31 chi33,,
橄欖,ka欖,ka24 lam31,,
野生的栗子,赤kieu24子,chhiak2 kieu24 tsii31,,
花生,地豆,thi55 theu53,,
萵苣,mak菜,萵mak,mak2 tshoi53, vo24 mak2,,
竹竿,竹篙,chuk2 ko24,,
鳳仙花,手（指）甲花,shiu31 (chi31) kak2 fa33,,
雞冠花,雞公髻花,ke33 kung33 ki53 fa33,,
浮萍,薸,phiau11,,
艾草,ngie,ngie53,,
青苔,溜苔,liu24 thoi11,,
畜牲,頭牲,theu11 sang24,,
公牛,牛牯,ngi11 ku31,,
母牛（生育過的）,牛嬤,ngiu44 ma11,,
母牛（未曾生育的）,牛chhi,ngiu11 chhi53,,
黃牛,赤牛,chhiak2 ngiu11,,
被閹割的公牛,jiam,jiam24,,
瘋狗,癲狗,tien24 kieu31,,
貓,貓,ngiau53,,
專供配種用的公豬,豬哥,chu33 ko33,,
熊,熊,him11,,
麻雀,瓦雀,nga31 chiok2,,
鴿子,月鴿,ngiet5 kap2,,
貓頭鷹,貓頭鳥,ngiau53 theu11 tiau33,,
鸚鵡,鸚哥,en33 ko33,,
鷹（體形大，性兇惡）,鷹,en24,,
似鷹，身灰，體形較鷹小,鷂婆,jiau53 pho11,,
帝雉,竹雞,chuk2 ke24,,
蝙蝠,phit婆,phit5 pho11,,源自大陸東南原住民語
蜘蛛,蜘蛛,ti33 tu33,,
蜘蛛（腳較長，不結網，室內活動較多）,la khia,la33 khia11,,源自大陸東南原住民語
螞蟻,蟻公,ngie53 kung33,,
白碼蟻,大水蟻,thai55 shui31 ngie53,,
蚯蚓,蟲hien,chhiong11 hien31,,hien字寫做「虫憲」
蜈蚣,蜈蚣蟲,ng31 kung24 chhiong11,,
壁虎,壁蛇,piak2 shia11,,
蒼蠅,烏蠅,vu24 jin11,,
蝨子,曾孫,蝨嬤,set5 ma11,,
臭蟲,玄孫之子,棺蜱,kuan33 pi33,,
蟋蟀,土狗,thu31 keu31,,
蠅虎,老虎狗,lo44 fu31 ko33,,
蟬,蟬，jiam jiam ji,shiam11, jiam55 jiam55 ji33,,
蜂,蜂,phong24,,
黃蜂,泥蜂,ne11 phong33,,
窩,竇,teu53,,
蜂蜜,蜂糖,phong24 thong11,,
螢火蟲,火燄蟲,fo31 ngiam55 chhiong11,,亦寫作「火黏蟲」
蝴蝶,jiak,jiak5,,jiak亦寫作「招」
蜻蜓,揚尾,jiong11 mui24,,
蝦米,蝦pi,ha11 pi24,,
鱉,團魚，鱉,thon44 ng11, piet2,,
泥鰍,胡溜，胡鰍,fu11 liu24, fu11 chhiu24,,
鱔魚,黃鱔,vong11 shien33,,
螃蟹,老蟹,lo44 hai31,,
蟹黃,老蟹卵,lo44 hai31 lon31,,
青蛙,kuai,kuai31,,寫做「虫另」
青蛙（體形較大）,蝦嬤,ha33 ma11,,
蝌蚪,光車ngiam，kuai ngiam,kong33 ki24 ngiam31, kuai31 ngiam53,,kuai ngiam寫作「虫另 虫念」，是已長腳的蝌蚪
經商,做生理,tso53 sen33 li33,,
批貨、採購貨物,打貨，割貨,ta31 fo53, kok2 fo53,,
善於經商的人,生理腳,sen33 li24 kiok2,,
利潤,利純,li53 shun11,,
利息,利錢,li53 chhien11,,
記帳,記數,ki55 sii53,,
付錢,納錢,nap5 chhien11,,
零錢,零星,len11 sen33,,
介紹人,中人,chiung24 ngin11,,
租屋,稅屋,shoi55 vuk2,,
小口大肚的竹籠,lui公,lui31 kung33,,
理髮,剃頭,thi53 theu11,,
專養種豬為他人的豬配種的人,牽豬哥,khien33 chu33 ko33,,
照相,him相,him55 shiong53,,
解聘,chhi頭,chhi44 theu11,,
客廳,廳下,then33 ha33,,
窗戶,窗門,tshong24 mun11,,
廚房,灶下,tso53 ha33,,
爐灶,灶頭,tso53 theu11,,
浴室,洗身間,se31 shin33 kien24,,
洗澡，游泳,洗身,se31 shin33,,
床,眠床,min33 tshong11,,
腳踏兒,thiap凳,thiap2 ten53,,
床沿,眠床唇,nin33 tshong44 shiun11,,
棉被,被骨,phi24 kut2,,
鍋子,鑊頭,vok5 theu11,,
瓢,勺嬤,shiok5 ma11,,
斗笠,笠嬤,lit2 ma11,,
砧板,砧piong,tsem33 piong33,,
筷筒,筷管,khuai53 kong11,,
電燈,電火,thien55 fo31,,
